Station_Code,Location,State,Temperature_C_Min,Temperature_C_Max,Temperature_C_Mean,DO_mg_l_Min,DO_mg_l_Max,DO_mg_l_Mean,pH_Min,pH_Max,pH_Mean,Conductivity_umhos_cm_Min,Conductivity_umhos_cm_Max,Conductivity_umhos_cm_Mean,BOD_mg_l_Min,BOD_mg_l_Max,BOD_mg_l_Mean,Nitrate_N_mg_l_Min,Nitrate_N_mg_l_Max,Nitrate_N_mg_l_Mean,Fecal_Coliform_MPN_100ml_Min,Fecal_Coliform_MPN_100ml_Max,Fecal_Coliform_MPN_100ml_Mean,Total_Coliform_MPN_100ml_Min,Total_Coliform_MPN_100ml_Max,Total_Coliform_MPN_100ml_Mean,Year
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,15.0,24.0,21.0,7.2,9.2,7.9,6.8,8.8,7.8,135.0,202.0,158.0,1.4,4.2,2.6,,,,,,,160.0,500.0,258.0,2012
1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,13.0,26.0,20.0,7.0,9.8,8.6,7.2,7.6,7.4,170.0,260.0,220.0,2.8,3.9,3.4,0.13,0.97,0.4,21.0,1700.0,920.0,1000.0,4800.0,2125.0,2012
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,17.0,23.0,19.0,7.4,12.5,9.2,7.0,7.5,7.3,170.0,314.0,222.0,1.8,5.2,3.1,0.0,0.75,0.26,320.0,360.0,352.0,490.0,910.0,662.0,2012
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,17.0,23.0,20.0,7.6,12.0,9.2,7.0,7.6,7.4,160.0,323.0,230.0,1.6,5.6,3.2,0.0,1.06,0.31,350.0,550.0,428.0,700.0,1000.0,822.0,2012
1145,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,17.0,23.0,20.0,8.0,10.2,9.3,7.0,7.5,7.3,180.0,270.0,216.0,1.9,4.0,2.6,0.0,0.69,0.29,360.0,840.0,595.0,810.0,1400.0,1103.0,2012
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,17.0,24.0,20.0,8.2,9.8,9.0,7.0,7.8,7.4,180.0,300.0,251.0,0.5,3.8,2.7,0.0,0.8,0.33,350.0,920.0,732.0,700.0,1700.0,1317.0,2012
1063,GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,16.0,31.0,25.0,6.6,11.3,8.6,7.6,8.4,8.1,18.0,492.0,108.0,3.0,4.8,4.0,0.0,3.36,1.09,900.0,28000.0,4673.0,2100.0,93000.0,24164.0,2012
1066,GANGA AT KANNAUJ D/S,UTTAR PRADESH,16.0,31.0,25.0,6.4,10.8,8.3,7.9,8.5,8.1,18.0,476.0,108.0,3.8,5.8,4.8,0.0,2.54,0.94,700.0,39000.0,6045.0,2000.0,100000.0,29191.0,2012
1146,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,16.0,31.0,25.0,6.4,11.6,8.7,7.4,8.8,8.2,23.0,499.0,105.0,2.6,5.7,4.1,0.0,2.32,0.76,700.0,28000.0,4845.0,2000.0,200000.0,17246.0,2012
1067,GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,16.0,31.0,25.0,2.8,12.2,8.7,7.5,9.1,8.4,23.0,528.0,106.0,2.8,5.9,4.3,0.0,2.48,0.82,700.0,39000.0,6245.0,2800.0,200000.0,26691.0,2012
1068,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),UTTAR PRADESH,16.0,31.0,25.0,4.6,10.8,6.6,7.2,8.9,8.3,29.0,574.0,127.0,4.6,19.2,8.3,0.0,3.68,1.51,3900.0,93000.0,23927.0,64000.0,200000.0,100000.0,2012
