State,District,Basin,Sub_Basin,Station_Name,Station_Type,Date,Month,Year,Agency_name,Latitude,Longitude,_24d,_as,_do,aldrin,alk_phen,alk_tot,b,barium,bhc,bod,bod3_27,ca,carbon_14,cd,chlf_a,cl,cn,co3,cocci,cod,cr,cu,data_gov_update_date,ddt,dieldrin,do_sat_,ec_fld,ec_gen,endos,f,fcol_mpn,fe,har_ca,har_mg,har_total,hco3,hg,k,mg,na,na_,nh3_n,ni,no2_n,no2_no3,no3_n,o_po4_p,org_n,p_tot,pah,pb,ph_fld,ph_gen,rsc,sar,secchi,sio2,sio3,so4,ss,tcol_mpn,tds,temp,toc,ts,turb,zn,_401,ag,al,colour_cod,d_o,d_o_,mn,odour_code,oxygen_18,pcb,ph,phenols,radon,se,strontium,tritium,uranium,no2__n,caco3,mgcaco3,bod
Rajasthan,DHOLPUR,Ganga,Yamuna,DHOLPUR,Surface Water,1981-06-11 07:50:00,06,1981,CWC,26.6594444444,77.9030555556,NA,NA,NA,NA,19.9200000763,284,0.1598400027,NA,NA,NA,NA,15.6000003815,NA,NA,NA,63.9000015259,NA,24,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,913,NA,NA,NA,0.3720000088,NA,NA,142.78125,297.6799926758,NA,0.3910000026,24.9074993134,60.0299987793,47.9176826477,NA,NA,0.0137999998,0.0137999998,0,1.240079999,NA,NA,NA,NA,NA,7.4800000191,2.8512609005,2.1958405972,39,27,NA,70.0800018311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,AGRA,Ganga,Yamuna,AGRA(POIYAGHAT),Surface Water,1981-06-11 08:20:00,06,1981,CWC,27.2541666667,78.0230555556,NA,NA,0.6999999881,NA,11.9499998093,264,0.200000003,NA,NA,NA,6.6300001144,48.7999992371,NA,NA,NA,314.1799926758,NA,14.3999996185,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,1733,NA,NA,NA,0.1899999976,NA,NA,329.5599975586,292.799987793,NA,1.9600000381,49.8199996948,200.1000061035,56.9300003052,NA,NA,0,2.3820400238,2.3800001144,1.2400000095,NA,NA,NA,NA,NA,6.8499999046,0,4.8200001717,0,31,NA,75.8399963379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,BASTI,Ganga,Ghaghra,Basti,Surface Water,1981-06-03 08:00:00,06,1981,CWC,26.7844444444,82.7125,NA,NA,NA,NA,33.8639984131,382.8770446777,NA,NA,NA,NA,NA,35.2599983215,NA,NA,NA,9,NA,40.7999992371,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,433,NA,NA,NA,NA,NA,NA,159.1083374023,384.1499938965,NA,44,17.0300006866,78,44.1818504333,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,7.8000001907,4.4957008362,2.6987407207,88.1499938965,0.0199999996,NA,12.7600002289,NA,NA,277,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,ETAWAH,Ganga,Yamuna,ETAWAH,Surface Water,1981-06-22 09:00:00,06,1981,CWC,26.7497222222,78.9833333333,NA,NA,NA,NA,15.936000824,436,0.1800000072,NA,NA,NA,NA,37.5999984741,NA,NA,NA,318.0799865723,NA,19.2000007629,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,1911,NA,0,NA,0.3720000088,NA,NA,366.362487793,492.8800048828,NA,1.9550000429,65.3669967651,200.1000061035,54.3678970337,NA,NA,0,2.3820400238,2.3820400238,2.3148159981,NA,NA,NA,NA,NA,7.3600001335,1.4636129141,4.5698127747,94,12.1999998093,NA,173.2799987793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,FATEHPUR,Ganga,Yamuna,KORA-OLD,Surface Water,1981-06-01 08:00:00,06,1981,CWC,26.1061111111,80.3838888889,NA,NA,0,NA,15.936000824,272,0,NA,NA,NA,NA,19.2000007629,NA,NA,NA,28.0450000763,NA,19.2000007629,NA,NA,NA,NA,2025-08-27,NA,NA,0,593,593,NA,0,NA,0,NA,NA,120.9000015259,292.799987793,NA,1.1729999781,17.4960002899,20.0100002289,26.3891639709,0,NA,0,0,0,0.6407080293,NA,NA,NA,NA,8.6000003815,8.6000003815,3.0414872169,0.7949007154,48,10.1000003815,NA,31.6800003052,NA,NA,593,31,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,GORAKHPUR,Ganga,Ghaghra,Birdghat ,Surface Water,1981-06-01 08:00:00,06,1981,CWC,26.7297222222,83.3497222222,NA,NA,7.4499998093,NA,11.9519996643,132,NA,NA,NA,NA,NA,38.7999992371,NA,NA,NA,6.0349998474,NA,14.3999996185,NA,NA,NA,NA,2025-08-27,NA,NA,81.9401626587,NA,464,NA,NA,NA,NA,NA,NA,159.2687530518,131.7599945068,NA,5.0830001831,14.9444999695,16.5599994659,17.9344863892,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8.0500001907,0,0.5725059509,97,NA,NA,21.6000003815,NA,NA,297,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,GORAKHPUR,Ganga,Ghaghra,Regauli,Surface Water,1981-06-01 08:00:00,06,1981,CWC,27.0161111111,83.2122222222,NA,NA,NA,NA,29.8799991608,330,0.001,NA,NA,NA,NA,36.1199989319,NA,NA,NA,41,NA,36,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,437,NA,NA,NA,NA,NA,NA,163.3833312988,329.3999938965,NA,33,17.5400009155,59,38.555393219,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,7.9000000954,3.3533923626,2.0144860744,90.2999954224,0.0199999996,NA,19,NA,NA,280,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,JAUNPUR,Ganga,Gomti,MAIGHAT,Surface Water,1981-06-01 08:00:00,06,1981,CWC,25.6388888889,82.8611111111,NA,NA,NA,NA,0,647.5409545898,0.001,NA,NA,NA,NA,30.1000003815,NA,NA,NA,46,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,1370,1354,NA,1.8999999762,NA,NA,NA,NA,223.5833282471,790,NA,3,35.5999984741,202,66.0896911621,0.0500000007,NA,NA,NA,0.0099999998,NA,NA,0.0799999982,NA,NA,8,8.1999998093,8.517537117,5.902712822,75.25,14.3999996185,NA,57.4000015259,NA,NA,867,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,JAUNPUR,Ganga,Gomti,MAIGHAT,Surface Water,1981-06-01 08:40:00,06,1981,CWC,25.6388888889,82.8611111111,NA,NA,NA,NA,7.6359996796,271.0710449219,0.001,NA,NA,NA,NA,37.8400001526,NA,NA,NA,41.2000007629,NA,9.1999998093,NA,NA,NA,NA,2025-08-27,NA,NA,NA,770,756,NA,1.3999999762,NA,NA,NA,NA,412.6000061035,312,NA,4.5,76.3199996948,53,21.771232605,0.0500000007,NA,NA,NA,0.0099999998,NA,NA,0.150000006,NA,NA,8,8.1999998093,0,1.1407272816,94.5999984741,20,NA,30,NA,NA,484,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,KANPUR NAGAR,Ganga,-,Ankinghat,Surface Water,1981-06-01 08:00:00,06,1981,CWC,26.9330555556,80.0327777778,NA,NA,NA,NA,19.9200000763,280,NA,NA,NA,NA,NA,27.5200004578,NA,NA,NA,12,NA,24,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,464,NA,NA,NA,NA,NA,NA,141.8000030518,292.799987793,NA,2.7000000477,17.5200004578,21.5,24.4859428406,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8.3000001907,2.7843010426,0.7882676721,68.8000030518,4,NA,18.1100006104,NA,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
